role,name,team,current_value,initial_value,league_type_id,active
GK,Maignan,Milan,19,18,1,1
GK,Meret,Napoli,17,14,1,1
GK,Musso,Atalanta,15,13,1,1
GK,Sepe,Salernitana,13,8,1,1
GK,Handanovic,Inter,13,16,1,1
GK,Szczesny,Juventus,13,16,1,1
GK,Silvestri,Udinese,13,10,1,1
GK,Rui Patricio,Roma,12,14,1,1
GK,Vicario,Empoli,12,9,1,1
GK,Consigli,Sassuolo,11,11,1,1
GK,Provedel,Lazio,11,7,1,1
GK,Gollini,Fiorentina,10,12,1,1
GK,Montipo',Verona,10,11,1,1
GK,Skorupski,Bologna,9,11,1,1
GK,Falcone,Lecce,9,5,1,1
GK,Perin,Juventus,8,1,1,1
GK,Berisha,Torino,8,11,1,1
GK,Audero,Sampdoria,8,10,1,1
GK,Radu I.,Cremonese,8,5,1,1
GK,Cragno,Monza,8,11,1,1
GK,Luis Maximiano,Lazio,8,12,1,1
GK,Dragowski,Spezia,7,7,1,1
GK,Milinkovic-Savic V.,Torino,7,1,1,1
GK,Terracciano,Fiorentina,4,1,1,1
GK,Di Gregorio,Monza,4,1,1,1
GK,Sportiello,Atalanta,1,1,1,1
GK,Mirante,Milan,1,1,1,1
GK,Sarr M.,Cremonese,1,1,1,1
GK,Tatarusanu,Milan,1,1,1,1
GK,Lamanna,Monza,1,1,1,1
GK,Ujkani,Empoli,1,1,1,1
GK,Pegolo,Sassuolo,1,1,1,1
GK,Perilli,Verona,1,1,1,1
GK,Padelli,Udinese,1,1,1,1
GK,Perisan,Empoli,1,1,1,1
GK,Bardi,Bologna,1,1,1,1
GK,Cordaz,Inter,1,1,1,1
GK,Pinsoglio,Juventus,1,1,1,1
GK,Fiorillo,Salernitana,1,1,1,1
GK,Sirigu,Napoli,1,1,1,1
GK,Cerofolini,Fiorentina,1,1,1,1
GK,Rossi F.,Atalanta,1,1,1,1
GK,Contini,Sampdoria,1,1,1,1
GK,Brancolini,Lecce,1,1,1,1
GK,Carnesecchi,Cremonese,1,1,1,1
GK,Bleve,Lecce,1,1,1,1
GK,Berardi A.,Verona,1,1,1,1
GK,Russo A.,Sassuolo,1,1,1,1
GK,Gemello,Torino,1,1,1,1
GK,Ravaglia,Sampdoria,1,1,1,1
GK,Zoet,Spezia,1,1,1,1
GK,Boer,Roma,1,1,1,1
GK,Adamonis,Lazio,1,1,1,1
GK,Marfella,Napoli,1,1,1,1
GK,Zovko,Spezia,1,1,1,1
GK,Piana,Udinese,1,1,1,1
GK,Bagnolini,Bologna,1,1,1,1
GK,Onana,Inter,1,1,1,1
GK,Svilar,Roma,1,1,1,1
GK,Sorrentino A.,Monza,1,1,1,1
GK,Ciezkowski,Cremonese,1,1,1,1
GK,Micai,Salernitana,1,1,1,1
GK,Chiesa M.,Verona,1,1,1,1
GK,Saro,Cremonese,1,1,1,1
D,Hernandez T.,Milan,19,20,1,1
D,Dumfries,Inter,19,20,1,1
D,Bremer,Juventus,17,18,1,1
D,Gosens,Inter,16,19,1,1
D,Smalling,Roma,16,14,1,1
D,Udogie,Udinese,16,13,1,1
D,Demiral,Atalanta,15,13,1,1
D,Bastoni S.,Spezia,15,12,1,1
D,Kim,Napoli,15,13,1,1
D,Skriniar,Inter,14,17,1,1
D,Di Lorenzo,Napoli,14,15,1,1
D,Rodrigo Becao,Udinese,14,10,1,1
D,Calabria,Milan,13,13,1,1
D,Ibanez,Roma,13,9,1,1
D,Rrahmani,Napoli,13,14,1,1
D,Tomori,Milan,13,15,1,1
D,Parisi,Empoli,13,8,1,1
D,Bonucci,Juventus,12,15,1,1
D,Toloi,Atalanta,12,8,1,1
D,Bastoni,Inter,12,15,1,1
D,Danilo,Juventus,12,12,1,1
D,Kalulu,Milan,12,14,1,1
D,Vojvoda,Torino,12,9,1,1
D,Mazzocchi,Salernitana,12,7,1,1
D,Dodo',Fiorentina,12,14,1,1
D,Biraghi,Fiorentina,11,13,1,1
D,Romagnoli,Lazio,11,11,1,1
D,Spinazzola,Roma,11,12,1,1
D,Darmian,Inter,11,9,1,1
D,Singo,Torino,11,14,1,1
D,Faraoni,Verona,10,13,1,1
D,Milenkovic,Fiorentina,10,11,1,1
D,Rodriguez R.,Torino,10,7,1,1
D,Lazzari,Lazio,10,10,1,1
D,Mancini,Roma,10,10,1,1
D,Valeri,Cremonese,10,5,1,1
D,Dimarco,Inter,9,8,1,1
D,De Vrij,Inter,9,10,1,1
D,Zappacosta,Atalanta,9,11,1,1
D,Maehle,Atalanta,9,8,1,1
D,Doig,Verona,9,6,1,1
D,Lucumi',Bologna,9,9,1,1
D,Mario Rui,Napoli,8,9,1,1
D,Medel,Bologna,8,7,1,1
D,Karsdorp,Roma,8,10,1,1
D,Colley,Sampdoria,8,9,1,1
D,Kyriakopoulos,Sassuolo,8,6,1,1
D,Mari',Monza,8,11,1,1
D,Erlic,Sassuolo,8,9,1,1
D,Casale,Lazio,8,9,1,1
D,Cambiaso,Bologna,8,9,1,1
D,Daniliuc,Salernitana,8,7,1,1
D,Schuurs,Torino,8,9,1,1
D,Masina,Udinese,7,6,1,1
D,Ghiglione,Cremonese,7,5,1,1
D,Patric,Lazio,7,5,1,1
D,De Silvestri,Bologna,7,9,1,1
D,Alex Sandro,Juventus,7,8,1,1
D,Ferrari G.,Sassuolo,7,8,1,1
D,Fazio,Salernitana,7,6,1,1
D,Hateboer,Atalanta,7,9,1,1
D,Palomino,Atalanta,7,10,1,1
D,Nuytinck,Udinese,7,7,1,1
D,Djidji,Torino,7,5,1,1
D,Igor,Fiorentina,7,9,1,1
D,Celik,Roma,7,7,1,1
D,Bellanova,Inter,7,8,1,1
D,Ismajli,Empoli,7,3,1,1
D,Martinez Quarta,Fiorentina,7,4,1,1
D,Stojanovic,Empoli,7,7,1,1
D,Soppy,Atalanta,7,7,1,1
D,Kiwior,Spezia,7,6,1,1
D,Carlos Augusto,Monza,7,8,1,1
D,Posch,Bologna,7,8,1,1
D,D'ambrosio,Inter,6,8,1,1
D,Juan Jesus,Napoli,6,7,1,1
D,Acerbi,Inter,6,8,1,1
D,Chiriches,Cremonese,6,5,1,1
D,Pezzella Giu.,Lecce,6,6,1,1
D,Djimsiti,Atalanta,6,7,1,1
D,Marusic,Lazio,6,7,1,1
D,Umtiti,Lecce,6,7,1,1
D,Buongiorno,Torino,6,4,1,1
D,Reca,Spezia,6,5,1,1
D,Lazaro,Torino,6,7,1,1
D,Augello,Sampdoria,6,7,1,1
D,Toljan,Sassuolo,6,5,1,1
D,Ampadu,Spezia,6,6,1,1
D,Scalvini,Atalanta,6,6,1,1
D,Pongracic,Lecce,6,6,1,1
D,Perez N.,Udinese,6,8,1,1
D,Kasius,Bologna,6,2,1,1
D,Baschirotto,Lecce,6,2,1,1
D,Olivera,Napoli,6,7,1,1
D,Bronn,Salernitana,6,5,1,1
D,Hien,Verona,6,6,1,1
D,Ferrari A.,Sampdoria,5,5,1,1
D,Hysaj,Lazio,5,6,1,1
D,De Sciglio,Juventus,5,6,1,1
D,Florenzi,Milan,5,7,1,1
D,Bianchetti,Cremonese,5,4,1,1
D,Sala,Spezia,5,5,1,1
D,Caldara,Spezia,5,6,1,1
D,Ceccherini,Verona,5,6,1,1
D,Bereszynski,Sampdoria,5,6,1,1
D,Rogerio,Sassuolo,5,5,1,1
D,Marlon,Monza,5,7,1,1
D,Kjaer,Milan,5,5,1,1
D,Lykogiannis,Bologna,5,4,1,1
D,Gunter,Verona,5,5,1,1
